id,title,authors,year,venue,publication_status,arxiv,doi,primary_url,domain,explicit_world_model,modeled_system,observation,state,state_type,action,transition,prediction_target,rollout_horizon,evaluation,dataset,downstream_purpose,strongest_contribution,limitation,relevance_to_MedicalWorldModel,rollout_mechanism,time_scale,uncertainty,planning,official_project_repository,read_depth,source_locator,version_note,verified_date,evidence_scope,metadata_verification
"G11","DINO-WM: World Models on Pre-trained Visual Features enable Zero-shot Planning","Gaoyue Zhou; Hengkai Pan; Yann LeCun; Lerrel Pinto","2025","ICML; PMLR 267:79115–79135","Published","2411.04983","UNKNOWN","https://proceedings.mlr.press/v267/zhou25t.html","robot/object manipulation","yes","robot/object manipulation","image history; proprioception/actions","frozen DINOv2 patch features","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","recorded controls","predict future patch features","goal-relevant future embeddings","autoregressive; MPC and open-loop ablated","goal/control success over six environments","Maze; Wall; PushT; Reach; Rope; Granular","image-goal planning","planning without pixel decoder training","feature distance can miss critical small details","test reuse of predictive state without requiring pixel output","iterated feature prediction under candidate action sequences","bước môi trường; đổi sang giây UNKNOWN","deterministic feature prediction; calibration not established","CEM MPC; GD/open-loop ablations","https://dino-wm.github.io","full-text methods/evaluation/appendix","§3–4; Appendix A.5.3","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G12","V-JEPA 2: Self-Supervised Video Models Enable Understanding, Prediction and Planning","Mido Assran (Mahmoud Assran trong PDF); Adrien Bardes; David Fan; Quentin Garrido; Russell Howes; Mojtaba Komeili; Matthew Muckley; Ammar Rizvi; Claire Roberts; Koustuv Sinha; Artem Zholus; Sergio Arnaud; Abha Gejji; Ada Martin; Francois Robert Hogan; Daniel Dugas; Piotr Bojanowski; Vasil Khalidov; Patrick Labatut; Francisco Massa; Marc Szafraniec; Kapil Krishnakumar; Yong Li; Xiaodong Ma; Sarath Chandar; Franziska Meier; Yann LeCun; Michael Rabbat; Nicolas Ballas","2025","arXiv; venue peer-reviewed UNKNOWN","Preprint verified","2506.09985v1","UNKNOWN","https://arxiv.org/abs/2506.09985","video representation + robot AC model","yes","video representation + robot AC model","pretraining video; AC images + end-effector state/actions","frozen visual patch features; robot state","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","AC uses robot controls; pretraining no action","masked prediction then causal action-conditioned latent prediction","future feature patches; goal proximity","training rollout T=2; teacher-forced T=15; MPC task-dependent","video understanding and real robot goal tasks","web video; DROID; two robot labs","representation reuse and image-goal MPC","separates broad representation from action grounding","camera sensitivity; long-horizon errors; staged subgoals","masked pretraining alone is not prefix forecasting","masked pretraining; action-conditioned recursive prediction for MPC","bước môi trường; đổi sang giây UNKNOWN","no calibrated belief distribution established","CEM MPC for V-JEPA 2-AC","https://github.com/facebookresearch/vjepa2","full-text §3 and §4.3","§3 action-conditioned model; §4.3 limitations","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G13","Genie: Generative Interactive Environments","Jake Bruce; Michael D Dennis; Ashley Edwards; Jack Parker-Holder; Yuge Shi; Edward Hughes; Matthew Lai; Aditi Mavalankar; Richie Steigerwald; Chris Apps; Yusuf Aytar; Sarah Maria Elisabeth Bechtle; Feryal Behbahani; Stephanie C.Y. Chan; Nicolas Heess; Lucy Gonzalez; Simon Osindero; Sherjil Ozair; Scott Reed; Jingwei Zhang; Konrad Zolna; Jeff Clune; Nando De Freitas; Satinder Singh; Tim Rocktäschel","2024","ICML; PMLR 235:4603–4623","Published","UNKNOWN","UNKNOWN","https://proceedings.mlr.press/v235/bruce24a.html","interactive game-like video","yes","interactive game-like video","unlabeled videos / initial image","video tokens + latent action codes","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","inferred discrete latent action","conditioned token dynamics","next video tokens","interactive autoregressive rollout","controllability; policy-transfer evidence; video quality","internet platform-game videos","interactive learned environments","learn action vocabulary without action labels","latent action not identified physical command","pose/action distinction is indispensable","latent-action autoregressive video","bước môi trường; đổi sang giây UNKNOWN","stochastic generation","interactive simulation; not universal physical planner","UNKNOWN","proceedings metadata/abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G14","Learning Interactive Real-World Simulators","Sherry Yang; Yilun Du; Kamyar Ghasemipour; Jonathan Tompson; Leslie Kaelbling; Dale Schuurmans; Pieter Abbeel","2024","ICLR","Published","2310.06114","UNKNOWN","https://openreview.net/pdf/ebbd0d77e65c2e2ffb1eef300c8c55e4f2f27c86.pdf","interactive real-world video / UniSim","yes","interactive real-world video / UniSim","video history; text or low-level controls","video generative latent/history","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","high-level instructions and low-level action","conditional video generation chained through time","future observations","multi-step; numeric horizon UNKNOWN","sim-trained policy transfer in studied tasks","mixed web and robot datasets","simulation for RL/planning","unified high/low-level conditions","distribution coverage; limited transfer is not general physics proof","data grounding needed for medical actions","conditioned recurrent video generation","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","RL trained in simulation; task-specific transfer","https://universal-simulator.github.io","metadata + abstract","ICLR published PDF; abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G15","Navigation World Models","Amir Bar; Gaoyue Zhou; Danny Tran; Trevor Darrell; Yann LeCun","2025","CVPR:15791–15801","Published","2412.03572","UNKNOWN","https://openaccess.thecvf.com/content/CVPR2025/html/Bar_Navigation_World_Models_CVPR_2025_paper.html","egocentric navigation","yes","egocentric navigation","image prefix + motion and elapsed time","visual latent history; no explicit metric map","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","relative translation/yaw; Δt","conditional video model","future egocentric observations","8 steps ×0.25 s for planning; 4 s video evaluation","ATE/RPE; candidate trajectory ranking; image metrics","RECON; TartanDrive; SCAND; HuRoN; Ego4D; GoStanford","image-goal navigation","trajectory metrics complement perceptual quality","image-goal cost may ignore unseen obstacles","queryable view predictions require explicit information boundary","autoregressive view generation; goal MPC/ranking","seconds","generative sampling; calibration UNKNOWN","CEM; rank NoMaD trajectories","UNKNOWN","full-text methods/evaluation","Planning implementation; navigation evaluation","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G16","DriveDreamer: Towards Real-world-driven World Models for Autonomous Driving","Xiaofeng Wang; Zheng Zhu; Guan Huang; Xinze Chen; Jiagang Zhu; Jiwen Lu","2024","ECCV","Published","2309.09777","UNKNOWN","https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/6416_ECCV_2024_paper.php","autonomous driving","yes","autonomous driving","driving video; structured road/box conditions","latent driving scene conditioned on structure","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","driving conditions/actions","structured conditional video dynamics","video; driving actions","multi-frame; numeric UNKNOWN","video fidelity and driving-action prediction","nuScenes","driving simulation","structured controls constrain image generation","future supplied layouts must not be mistaken for forecasted state","distinguish known future acquisition query from unknown future anatomy","conditioned video generation; long recursive mechanism UNKNOWN from abstract","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","not established by abstract-level evidence","https://drivedreamer.github.io","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G17","Vista: A Generalizable Driving World Model with High Fidelity and Versatile Controllability","Shenyuan Gao; Jiazhi Yang; Li Chen; Kashyap Chitta; Yihang Qiu; Andreas Geiger; Jun Zhang; Hongyang Li","2024","NeurIPS","Published","2405.17398","10.52202/079017-2906","https://proceedings.neurips.cc/paper_files/paper/2024/hash/a6a066fb44f2fe0d36cf740c873b8890-Abstract-Conference.html","driving video","yes","driving video","recent frames; motion conditions","video latent/history","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","trajectory; command; angle/speed; goal","conditional denoising; history-based extension","future video; variance-derived action score","15 s qualitative long rollout; quantitative task-dependent","control consistency; reward versus perturbed trajectories; FVD","OpenDV-YouTube; nuScenes; Waymo","simulation/action assessment","uncertainty used as action-score signal","low variance is not correctness or safety; MPC suggested not demonstrated here","validate uncertainty against independent endpoint","iterative future video chunks; candidate-trajectory reward sampling","10 Hz video; seconds","conditional sample variance; calibration not established","reward assessment evaluated; MPC listed as possible use","https://github.com/OpenDriveLab/Vista","full-text methods/evaluation/appendix","§3.3; §4.3; Appendix A/C/D","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"G18","Learning to Simulate Complex Physics with Graph Networks","Alvaro Sanchez-Gonzalez; Jonathan Godwin; Tobias Pfaff; Rex Ying; Jure Leskovec; Peter Battaglia","2020","ICML; PMLR119:8459–8468","Published","2002.09405","UNKNOWN","https://proceedings.mlr.press/v119/sanchez-gonzalez20a.html","particle physical dynamics","no","particle physical dynamics","particle trajectories and material/boundary information","positions, motion history, particle attributes","explicit geometric/physical input state","boundary/forcing conditions","message passing predicts acceleration; numerical integration","future particle states","thousands of steps reported","state rollout error and generalization","simulated fluids/solids/granular systems","physical simulation","direct state-based multi-step evaluation","privileged particle states; visual inverse problem unsolved","geometry must be inferred and independently validated","learned acceleration followed by numerical integration","bước môi trường; đổi sang giây UNKNOWN","deterministic; training noise improves robustness","not primary objective","UNKNOWN","metadata + abstract","Paper simulation framework and rollout results","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G19","PhysGaussian: Physics-Integrated 3D Gaussians for Generative Dynamics","Tianyi Xie; Zeshun Zong; Yuxing Qiu; Xuan Li; Yutao Feng; Yin Yang; Chenfanfu Jiang","2024","CVPR:4389–4398","Published","UNKNOWN","UNKNOWN","https://openaccess.thecvf.com/content/CVPR2024/html/Xie_PhysGaussian_Physics-Integrated_3D_Gaussians_for_Generative_Dynamics_CVPR_2024_paper.html","3D material dynamics and rendering","no","3D material dynamics and rendering","multiview images; assigned physical parameters","3D Gaussians linked to continuum state","geometric and physical; partly specified rather than learned","external force/boundary settings","material-point physics; deformation and rendering","deformed geometry and images","physics integration; numeric horizon UNKNOWN","dynamic rendering/physical scenarios","reconstructed scenes; material simulations","render physical simulation","explicit physical state under assumptions","material identification from images not automatically solved","tissue mechanics needs constitutive and contact evidence","material-point simulation and rendering","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN","not primary objective","UNKNOWN","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G20","4D Gaussian Splatting for Real-Time Dynamic Scene Rendering","Guanjun Wu; Taoran Yi; Jiemin Fang; Lingxi Xie; Xiaopeng Zhang; Wei Wei; Wenyu Liu; Qi Tian; Xinggang Wang","2024","CVPR:20310–20320","Published","2310.08528","UNKNOWN","https://openaccess.thecvf.com/content/CVPR2024/html/Wu_4D_Gaussian_Splatting_for_Real-Time_Dynamic_Scene_Rendering_CVPR_2024_paper.html","dynamic scene reconstruction","no","dynamic scene reconstruction","observed dynamic views/timestamps","4D Gaussian scene representation","geometric scene representation","camera query; not environmental intervention","time-indexed deformation/rendering","novel-view render","observed temporal domain; future forecasting UNKNOWN","rendering fidelity/speed","dynamic scene datasets; exact extraction UNKNOWN","reconstruction/rendering","efficient dynamic representation","held-out view/time interpolation is not future dynamics validation","negative control for calling 4D reconstruction a WM","query time-conditioned scene deformation; forecasting not established","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","no demonstrated control","https://github.com/hustvl/4DGaussians","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G21","GeoWorld: Geometric World Models","Zeyu Zhang; Danning Li; Ian Reid; Richard Hartley","2026","CVPR:30952–30963","Published","2602.23058","UNKNOWN","https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_GeoWorld_Geometric_World_Models_CVPR_2026_paper.html","instructional procedure planning","yes","instructional procedure planning","video procedure observations","hyperbolic latent hierarchy","latent hyperbolic geometry","procedure action sequence","latent dynamics for procedure plans","future procedural states/actions","3/4-step task planning","procedure success metrics","CrossTask; COIN","procedure planning","geometric latent organization","geometric means hyperbolic representation, not metric 3D tissue","do not equate latent geometry with anatomy","latent procedural-step prediction; recursive mechanism UNKNOWN from abstract","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","procedure planning","https://steve-zeyu-zhang.github.io/GeoWorld","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"G22","Cosmos World Foundation Model Platform for Physical AI","NVIDIA: Niket Agarwal et al. (danh sách rút gọn; toàn bộ contributors tại arXiv)","2025","Technical report","Technical report / preprint","2501.03575v3","UNKNOWN","https://research.nvidia.com/publication/2025-01_cosmos-world-foundation-model-platform-physical-ai","general physical-AI video","yes","general physical-AI video","video; text and other task conditions","tokenized/generative visual representation","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","depends on downstream adaptation","video generation/prediction platform","future video","model-specific; numeric UNKNOWN","video and downstream platform demonstrations","large video corpus; licenses task-specific","pretrain then adapt","foundation-model tooling and scale","platform availability does not validate a medical simulator","transfer capabilities; not blanket physics/clinical validity","conditional video generation; model-dependent rollout","bước môi trường; đổi sang giây UNKNOWN","generative sampling; calibration UNKNOWN","downstream-dependent","https://github.com/NVIDIA/Cosmos","metadata + abstract","Trang nguồn/abstract","Technical report; original v1 January 2025, metadata/abstract v3 July 2025; peer-reviewed publication UNKNOWN.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
